time,seconds_elapsed,z,y,x
1767621245480865500,0.128865478515625,0.03123950958251953,-0.0007835719734430313,0.0004453882575035095
1767621245500921000,0.148921142578125,0.028862953186035156,0.044228047132492065,-0.016077999025583267
1767621245541024500,0.1890244140625,0.01695728302001953,0.03235302120447159,0.01263793557882309
1767621245581138000,0.229137939453125,0.028833389282226562,-0.017194081097841263,0.017639411613345146
1767621245621252600,0.269252685546875,0.028928756713867188,0.028667215257883072,-0.022612515836954117
1767621245661370600,0.30937060546875,0.04090404510498047,-0.005571611225605011,0.011146649718284607
1767621245701493500,0.349493408203125,0.031248092651367188,-0.01816527359187603,0.022891946136951447
1767621245721555000,0.369554931640625,0.03600025177001953,0.012762384489178658,0.010828198865056038
1767621245741619000,0.389618896484375,0.026491165161132812,0.016542091965675354,-0.03846738487482071
1767621245781734100,0.429734130859375,0.03128242492675781,0.02321740984916687,-0.019054081290960312
1767621245821850000,0.46985009765625,0.03128623962402344,0.00167020782828331,0.0318254679441452
1767621245861960400,0.50996044921875,0.02889251708984375,0.044443707913160324,-0.02310660108923912
1767621245902069500,0.550069580078125,0.024114608764648438,-0.014725640416145325,-0.012561321258544922
1767621245942185200,0.590185302734375,0.026513099670410156,-0.018003815785050392,0.05216190963983536
1767621245982308000,0.63030810546875,0.028906822204589844,0.043699461966753006,-0.03433533012866974
1767621246022424800,0.6704248046875,0.04088306427001953,-0.023939214646816254,-0.012186478823423386
1767621246062539800,0.710539794921875,0.026521682739257812,0.003823511302471161,0.04517127573490143
1767621246102636300,0.75063623046875,0.03131389617919922,0.010384414345026016,0.00010319799184799194
1767621246142755000,0.790755126953125,0.0432891845703125,-0.014998134225606918,-0.033656682819128036
1767621246182876200,0.830876220703125,0.01935100555419922,-0.005834728479385376,0.043310776352882385
1767621246223001000,0.8710009765625,0.028931617736816406,0.002775955945253372,-0.016597099602222443
1767621246263123500,0.91112353515625,0.021753311157226562,-0.0026105716824531555,-0.032920513302087784
1767621246303240000,0.951239990234375,0.024152755737304688,0.03966160863637924,0.034522414207458496
1767621246343362300,0.9913623046875,0.03613090515136719,-0.05218087136745453,-0.005601655691862106
1767621246383493000,1.0314931640625,0.028955459594726562,0.011448007076978683,-0.012153543531894684
1767621246403552800,1.051552734375,0.026563644409179688,0.008695192635059357,0.007121093571186066
1767621246423624000,1.0716240234375,0.03135204315185547,-0.02726110629737377,0.038174331188201904
1767621246463749000,1.1117490234375,0.016988754272460938,-0.027852723374962807,0.004440389573574066
1767621246503867100,1.1518671875,0.028967857360839844,0.011468488723039627,-0.004635225981473923
1767621246543985400,1.1919853515625,0.021790504455566406,0.001066252589225769,0.0218984242528677
1767621246564045300,1.21204541015625,0.03615856170654297,-0.03032216615974903,0.022140366956591606
1767621246584110800,1.23211083984375,0.01940155029296875,-0.0355001725256443,0.005486905574798584
1767621246624230100,1.272230224609375,0.024194717407226562,0.0163719542324543,0.000991176813840866
1767621246664354800,1.312354736328125,0.02180957794189453,-0.02301536127924919,0.008774936199188232
1767621246704478000,1.35247802734375,0.0098419189453125,-0.02618308737874031,0.016013525426387787
1767621246744596500,1.392596435546875,0.03378486633300781,0.009481947869062424,-0.0032335929572582245
1767621246784713700,1.432713623046875,0.021821975708007812,-0.013387482613325119,-0.007902245968580246
1767621246824826400,1.472826416015625,0.01703643798828125,-0.02086535468697548,0.01865718886256218
1767621246864946400,1.512946533203125,0.014646530151367188,-0.004745747894048691,-0.007563229650259018
1767621246905074400,1.553074462890625,0.017047882080078125,-0.025101421400904655,0.006987232714891434
1767621246945185500,1.593185546875,0.01944446563720703,-0.006694331765174866,0.02344636060297489
1767621246985302500,1.633302490234375,0.017058372497558594,-0.007628057152032852,-0.01921280100941658
1767621247025416700,1.673416748046875,0.017066001892089844,-0.02014997974038124,0.01038319244980812
1767621247045471000,1.693470947265625,0.017068862915039062,-0.013231240212917328,0.024898430332541466
1767621247065532400,1.713532470703125,0.02185821533203125,-0.006347261369228363,0.036915622651576996
1767621247105655800,1.75365576171875,0.012284278869628906,-0.004389796406030655,0.003339409828186035
1767621247125711600,1.773711669921875,0.031441688537597656,-0.009677328169345856,-0.013112429529428482
1767621247145776600,1.793776611328125,0.024262428283691406,-0.02698889747262001,0.001318175345659256
1767621247185897700,1.833897705078125,0.017073631286621094,-0.007297780364751816,0.024635305628180504
1767621247205952800,1.853952880859375,0.00749969482421875,-0.0028896965086460114,0.010263416916131973
1767621247226021000,1.874021240234375,0.0266571044921875,-0.025139886885881424,0.0007165074348449707
1767621247266149000,1.914149169921875,0.02187061309814453,-0.018377043306827545,-0.0067244768142700195
1767621247306276400,1.9542763671875,0.03145027160644531,-0.013939958065748215,0.031874142587184906
1767621247346400500,1.994400390625,0.024270057678222656,-0.040548454970121384,-0.006382759660482407
1767621247366462000,2.0144619140625,0.005115509033203125,0.0051080286502838135,-0.0015455856919288635
1767621247386527200,2.03452734375,0.014693260192871094,-0.007101383060216904,-0.011137306690216064
1767621247426642700,2.074642578125,0.012300491333007812,-0.04577803611755371,0.010184694081544876
1767621247466754300,2.11475439453125,0.01707935333251953,-0.020964305847883224,0.0021989643573760986
1767621247506866700,2.15486669921875,0.021857261657714844,-0.00996098667383194,-0.014899443835020065
1767621247546984400,2.194984375,0.0050907135009765625,-0.02603936567902565,0.008489515632390976
1767621247587114000,2.235114013671875,0.017059326171875,-0.011113293468952179,-0.0010682344436645508
1767621247627238400,2.27523828125,0.01945209503173828,-0.013448487967252731,-0.008405007421970367
1767621247667362000,2.315362060546875,0.019449234008789062,-0.03434786945581436,0.0085010826587677
